Original,Character,Dialogue,Wordcount
"Vivi:Hey, guys!",Vivi," Hey, guys!",1
Vivi:Let's build a sand castle! A real big one!,Vivi, Let's build a sand castle! A real big one!,8
Eiko:Sand castles are so childish...,Eiko, Sand castles are so childish...,4
"Eiko:But if we're gonna build one, we're gonna do it right!",Eiko," But if we're gonna build one, we're gonna do it right!",10
Vivi:It was your idea in the first place...,Vivi, It was your idea in the first place...,7
Bartz:A sand castle? Count me in!,Bartz, A sand castle? Count me in!,5
"Vivi:Mr. Galuf, Miss Faris, you guys come, too! We'll be waiting for you!",Vivi," Mr. Galuf, Miss Faris, you guys come, too! We'll be waiting for you!",12
"Faris:Did he just call me...""Miss""?",Faris," Did he just call me...""Miss""?",4
Galuf:Ho ho ho! There's no fooling the eyes of a child!,Galuf, Ho ho ho! There's no fooling the eyes of a child!,10
"Faris:We're coming for you, Lamia Queen! Don't let up, you landlubbers!",Faris," We're coming for you, Lamia Queen! Don't let up, you landlubbers!",10
Zidane:Heh heh.,Zidane, Heh heh.,1
Faris:...What're you smirking about?,Faris, ...What're you smirking about?,3
"Zidane:Oh, nothing. Just thinking how nice it is to be around a swashbuckling sweetie for a change.",Zidane," Oh, nothing. Just thinking how nice it is to be around a swashbuckling sweetie for a change.",16
Faris:A what...!?,Faris, A what...!?,1
"Sazh:Zidane, you feelin' alright? I get Faris is good looking...but a ""sweetie""?",Sazh," Zidane, you feelin' alright? I get Faris is good looking...but a ""sweetie""?",11
"Tifa:Hold on... Faris, are you a woman?",Tifa," Hold on... Faris, are you a woman?",6
"Faris:...Well, looks like the cat's outta the bag.",Faris," ...Well, looks like the cat's outta the bag.",7
Faris:You got a problem with it?,Faris, You got a problem with it?,5
"Tifa:Bartz, why didn't you say anything!?",Tifa," Bartz, why didn't you say anything!?",5
Bartz:I didn't know I was supposed to?,Bartz, I didn't know I was supposed to?,6
Cloud:How did you know?,Cloud, How did you know?,3
"Zidane:Cloud, Cloud, Cloud... Who do you think I am? I know a lady when I see one.",Zidane," Cloud, Cloud, Cloud... Who do you think I am? I know a lady when I see one.",16
"Tifa:But Faris, why'd you let us think you're a man?",Tifa," But Faris, why'd you let us think you're a man?",9
Faris:It's how I grew up. Would you want to be the only girl on a ship full of pirates?,Faris, It's how I grew up. Would you want to be the only girl on a ship full of pirates?,18
Cloud:You didn't have a choice. But you don't need to pretend you're someone else around us.,Cloud, You didn't have a choice. But you don't need to pretend you're someone else around us.,15
Tifa:Well aren't you the sweetest? Or are you saying that because you've been in her shoes?,Tifa, Well aren't you the sweetest? Or are you saying that because you've been in her shoes?,15
"Bartz:Her shoes? Cloud, don't tell me...",Bartz," Her shoes? Cloud, don't tell me...",5
Sazh:I don't know what to believe anymore.,Sazh, I don't know what to believe anymore.,6
Cloud:...Sometimes you don't have a choice.,Cloud, ...Sometimes you don't have a choice.,5
"Bartz:Anyway, no more secrets! We're all in this together!",Bartz," Anyway, no more secrets! We're all in this together!",8
Sazh:I don't think I can handle any more secrets from this group...,Sazh, I don't think I can handle any more secrets from this group...,11
Vivi:What an eerie castle.,Vivi, What an eerie castle.,3
"Zidane:Careful, Vivi. It's probably haunted.",Zidane," Careful, Vivi. It's probably haunted.",4
Cloud:Who cares? We fight monsters every day.,Cloud, Who cares? We fight monsters every day.,6
Warrior of Light:A departed spirit could still prove to be a threat.,Warrior of Light, A departed spirit could still prove to be a threat.,9
"Zidane:Right? So as I was saying, we need to",Zidane," Right? So as I was saying, we need to—",8
"???:Stop right there, bandits, or die in obscurity!",???," Stop right there, bandits, or die in obscurity!",7
"Cloud:Bandits? Zidane, you do something to this guy?",Cloud," Bandits? Zidane, you do something to this guy?",7
"Zidane:No way! ...I think. I mean, I'm pretty sure I didn't...",Zidane," No way! ...I think. I mean, I'm pretty sure I didn't...",10
Vivi:Are you...a ghost?,Vivi, Are you...a ghost?,2
"Warrior of Light:No, he's human.",Warrior of Light," No, he's human.",2
"???:A swordsman, a knight, and a black mage... They must have banded together and turned this abandoned castle into their headquarters.",???," A swordsman, a knight, and a black mage... They must have banded together and turned this abandoned castle into their headquarters.",20
Ramza:I am Ramza Beoulve. I cannot allow those who bring chaos to threaten the lives of the people!,Ramza, I am Ramza Beoulve. I cannot allow those who bring chaos to threaten the lives of the people!,17
Cloud:He thinks we're bandits. What do you want to do?,Cloud, He thinks we're bandits. What do you want to do?,9
Zidane:Guess we'll just have to knock some sense into him.,Zidane, Guess we'll just have to knock some sense into him.,9
Warrior of Light:Prepare for battle!,Warrior of Light, Prepare for battle!,2
Ramza:It's not...over yet!,Ramza, It's not...over yet!,2
"Hope:Excuse me, but are you okay? You know, we don't want to fight",Hope," Excuse me, but are you okay? You know, we don't want to fight—",12
Ramza:Vile banditsusing children to do their dirty work.,Ramza, Vile bandits—using children to do their dirty work.,7
"Penelo:Ramza, can we talk?",Penelo," Ramza, can we talk?",3
"Mog:Is everybody okay, kupo!?",Mog," Is everybody okay, kupo!?",3
Ramza:A moogle!? It can't be! The last of their race should have expired long ago!,Ramza, A moogle!? It can't be! The last of their race should have expired long ago!,14
"Mog:Maybe in your world, kupo.",Mog," Maybe in your world, kupo.",4
Ramza:In my world? What do you mean by that?,Ramza, In my world? What do you mean by that?,8
Ramza:I remember now. I was sucked into some sort of giant portal.,Ramza, I remember now. I was sucked into some sort of giant portal.,11
"Ramza:At the time, I thought it an illusion cast by a hostile mage.",Ramza," At the time, I thought it an illusion cast by a hostile mage.",12
Zidane:We're actually on a journey to close those Torsions in order to protect this world and our own.,Zidane, We're actually on a journey to close those Torsions in order to protect this world and our own.,17
Ramza:I apologize for accusing you of being bandits.,Ramza, I apologize for accusing you of being bandits.,7
Ramza:Ivalice is the name of a kingdom. ...I don't understand your meaning.,Ramza, Ivalice is the name of a kingdom. ...I don't understand your meaning.,11
"Mog:It looks like your worlds have some things in common, but are in different dimensions and eras, kupo.",Mog," It looks like your worlds have some things in common, but are in different dimensions and eras, kupo.",17
"Vaan:Huh, didn't know that was a thing.",Vaan," Huh, didn't know that was a thing.",6
"Ramza:So you're trying to save this world to protect your own, correct?",Ramza," So you're trying to save this world to protect your own, correct?",11
Ramza:May I join you? I'm certain I could be of service.,Ramza, May I join you? I'm certain I could be of service.,10
"Mog:You also harbor the light, kupo! So of course, we'd love to have you!",Mog," You also harbor the light, kupo! So of course, we'd love to have you!",13
Ramza:Thank you. I really appreciate it.,Ramza, Thank you. I really appreciate it.,5
Ramza:I swear by my sword to fight only for what is just.,Ramza, I swear by my sword to fight only for what is just.,11
Cloud:The Torsion is close.,Cloud, The Torsion is close.,3
Squall:...Yeah. Time to check our gear...right?,Squall, ...Yeah. Time to check our gear...right?,5
Ramza:A level-headed assessment of the situation. It is heartening to have you two at our sides.,Ramza, A level-headed assessment of the situation. It is heartening to have you two at our sides.,15
Ramza:Your fine sword arms attest to the wealth of experience under your belts.,Ramza, Your fine sword arms attest to the wealth of experience under your belts.,12
Squall:...That's what I trained for. I'm a mercenary.,Squall, ...That's what I trained for. I'm a mercenary.,7
Ramza:Of course. That makes sense.,Ramza, Of course. That makes sense.,4
Ramza:I trained at military akademy and now make my way as a mercenary also.,Ramza, I trained at military akademy and now make my way as a mercenary also.,13
Ramza:I sense our lots are not so different.,Ramza, I sense our lots are not so different.,7
"Ramza:Which reminds me. Lightning, I have been meaning to ask:",Ramza," Which reminds me. Lightning, I have been meaning to ask",9
Ramza:It is quite a curious blade you swing; can I assume you also undertook some special study?,Ramza, It is quite a curious blade you swing; can I assume you also undertook some special study?,16
"Lightning:I'm a soldier, deployed wherever I was needed. Mainly patrolling the frontier and controlling wildlife...",Lightning," I'm a soldier, deployed wherever I was needed. Mainly patrolling the frontier and controlling wildlife...",14
Ramza:I see... It must have been hard on you.,Ramza, I see... It must have been hard on you.,8
Lightning:There's something I want to protect. I never thought it hard.,Lightning, There's something I want to protect. I never thought it hard.,10
Tidus:Mercenaries and soldiers... Heck if I get where you all're coming from.,Tidus, Mercenaries and soldiers... Heck if I get where you all're coming from.,11
Ramza:You haven't martial backgrounds? Then where learnt you your swordsmanship?,Ramza, You haven't martial backgrounds? Then where learnt you your swordsmanship?,9
Ramza:An amateur!? And yet you're able to hold your own against these beasts!?,Ramza, An amateur!? And yet you're able to hold your own against these beasts!?,12
Tidus:Guess it just comes down to guts!,Tidus, Guess it just comes down to guts!,6
"Ramza:And what about you, Vaan? Had you a teacher?",Ramza," And what about you, Vaan? Had you a teacher?",8
"Vaan:I watched Penelo learning basic self-defense... Oh, and maybe picked up a thing or two hunting.",Vaan," I watched Penelo learning basic self-defense... Oh, and maybe picked up a thing or two hunting.",15
Ramza:To grow so capable on self-instruction... One truly can draw on all sorts of experiences in battle.,Ramza, To grow so capable on self-instruction... One truly can draw on all sorts of experiences in battle.,16
"Ramza:It would seem there is yet much for me to learn here. Tidus, might you teach me this blitzball when you have the time?",Ramza," It would seem there is yet much for me to learn here. Tidus, might you teach me this blitzball when you have the time?",23
Tidus:Huh? You wanna play blitzball?,Tidus, Huh? You wanna play blitzball?,4
"Ramza:And Vaan, tooI would be ever so pleased if you would impart unto me the secrets of hunting.",Ramza," And Vaan, too—I would be ever so pleased if you would impart unto me the secrets of hunting.",17
Vaan:I don't know if there's any secrets to it... You just hunt.,Vaan, I don't know if there's any secrets to it... You just hunt.,11
"Lightning:...Don't push yourself, kid. Being a perfect mimic doesn't necessarily make you any mightier.",Lightning," ...Don't push yourself, kid. Being a perfect mimic doesn't necessarily make you any mightier.",13
